curr_state	curr_action	next_reward	next_state
2045	-1	0	1908
1908	-1	0	1779
1779	1	0	1660
1660	0	0	1532
1532	-1	0	1403
1403	-1	0	1274
1274	1	0	1275
1275	1	0	1148
1148	-1	0	1019
1019	-1	0	890
890	0	0	890
890	-1	0	889
889	0	0	1017
1017	1	0	1146
1146	0	0	1146
1146	0	0	1146
1146	-1	0	1145
1145	1	0	1274
1274	-1	0	1273
1273	0	0	1401
1401	1	0	1530
1530	1	0	1531
1531	0	0	1403
1403	-1	0	1274
1274	1	0	1275
1275	1	0	1148
1148	0	0	1020
1020	1	0	893
893	0	0	757
757	-1	0	620
620	-1	0	491
491	1	0	372
