index	return	risk	AAPL	SPY	TSLA	RBLX	R	ROL
0.0	0.01957230090886817	0.03183202988767335	0.15794875141826706	0.5204781941115697	-1.2828105166740444e-19	0.013701124366508164	-6.891947365224933e-20	0.30787193010365504
1.0	0.02010182008361739	0.03185513457425506	0.16058972340787614	0.50115320569933	-1.1609508845379294e-19	0.023680474340453297	-6.254795880179076e-20	0.31457659655234066
2.0	0.020631339258366615	0.03192434830449019	0.1632306953974854	0.4818282172870893	-1.0391704469497693e-19	0.03365982431439865	-5.617977628512886e-20	0.3212812630010266
3.0	0.021160858433115836	0.03203937225566765	0.16587166738709455	0.46250322887484935	-9.173943627509119e-20	0.04363917428834377	-4.9813938794868136e-20	0.32798592944971233
4.0	0.02169037760786506	0.03219971550117208	0.16851263937670372	0.4431782404626092	-7.955492074311977e-20	0.05361852426228904	-4.344325497181605e-20	0.33469059589839806
5.0	0.022219896782614282	0.032404705308395135	0.17115361136631277	0.4238532520503692	-6.73801025482914e-20	0.06359787423623424	-3.707707265297545e-20	0.34139526234708373
6.0	0.022749415957363503	0.032653500851207024	0.17379458335592196	0.40452826363812927	-5.520467314033589e-20	0.07357722421017943	-3.071059411603294e-20	0.34809992879576934
7.0	0.023278935132112728	0.0329451097054473	0.17643555534553101	0.3852032752258892	-4.301711886629292e-20	0.08355657418412463	-2.4339314348151752e-20	0.3548045952444551
8.0	0.02380845430686195	0.033278406408908355	0.1790765273351401	0.3658782868136493	-3.084580072603214e-20	0.09353592415806979	-1.7975481970325013e-20	0.3615092616931408
9.0	0.024337973481611173	0.033652152333503466	0.18171749932474926	0.34655329840140897	-1.867023738932429e-20	0.10351527413201503	-1.161038490572344e-20	0.36821392814182663
10.0	0.024867492656360395	0.03406501613365988	0.18435847131435842	0.32722830998916885	-6.48490839276657e-21	0.11349462410596024	-5.238509268369397e-21	0.3749185945905124
11.0	0.025397011831109616	0.03451559409374302	0.18699944330396753	0.307903321576929	5.696242253851791e-21	0.12347397407990536	1.1304020847910907e-21	0.38162326103919814
12.0	0.02592653100585884	0.03500242978780021	0.18964041529357678	0.2885783331646888	1.787065462757528e-20	0.13345332405385069	7.494458845841236e-21	0.38832792748788386
13.0	0.02645605018060806	0.03552403257520284	0.1922813872831858	0.26925334475244894	3.0054959763225036e-20	0.14343267402779583	1.386541451379096e-20	0.3950325939365694
14.0	0.026985569355357286	0.036078894574343566	0.19492235927279494	0.24992835634020866	4.2234521335572646e-20	0.15341202400174112	2.023227960736817e-20	0.4017372603852552
15.0	0.027515088530106507	0.036665505873469915	0.19756333126240416	0.2306033679279683	5.440794979734903e-20	0.1633913739756863	2.6596917211263046e-20	0.40844192683394115
16.0	0.02804460770485573	0.037282367845358905	0.20020430325201322	0.21127837951572853	6.659101530881871e-20	0.17337072394963143	3.2967541199264776e-20	0.41514659328262676
17.0	0.028574126879604953	0.037927955204644696	0.20269802801320663	0.19106851397156163	5.1157074567840856e-20	0.18314786192957708	0.0011521544760122516	0.4219334416096423
18.0	0.029103646054354178	0.038598037869163104	0.20434050134392567	0.1657430823658853	6.64864644381042e-20	0.19175599149420997	0.008965032935592438	0.4291953918603866
19.0	0.0296331652291034	0.039289771412760986	0.20598297467464458	0.1404176507602094	8.183216821586011e-20	0.2003641210588427	0.01677791139517261	0.43645734211113074
20.0	0.03016268440385262	0.040002032660335134	0.20762544800536345	0.11509221915453369	9.716121598960309e-20	0.20897225062347544	0.024590789854752684	0.44371929236187485
