index	return	risk	AAPL	SPY	TSLA	RBLX	R	ROL
0.0	0.019572285864223476	0.03183202912677798	0.15794878655569167	0.5204794736809356	-1.2827647342074566e-19	0.013700896054195501	-6.891517153276722e-20	0.3078708437091773
1.0	0.020101805189419144	0.0318551338147903	0.16058975342158294	0.5011544730747116	-1.1609690559005634e-19	0.023680249074097885	-6.25471622142888e-20	0.31457552442960757
2.0	0.020631324514614816	0.03192434754930246	0.1632307202874741	0.481829472468488	-1.0391860611966063e-19	0.03365960209400031	-5.618049296667874e-20	0.3212802051500376
3.0	0.021160843839810484	0.032039371507559505	0.1658716871533653	0.4625044718622641	-9.174562896678584e-20	0.04363895511390272	-4.9815733555178245e-20	0.3279848858704679
4.0	0.021690363165006155	0.03219971476287453	0.16851265401925666	0.44317947125604007	-7.95653089045546e-20	0.05361830813380514	-4.3446991875972464e-20	0.33468956659089816
5.0	0.022219882490201823	0.03240470458254245	0.17115362088514777	0.4238544706498163	-6.737357892552736e-20	0.06359766115370752	-3.70736025033051e-20	0.34139424731132845
6.0	0.022749401815397495	0.0326535001403145	0.17379458775103906	0.40452947004359235	-5.520147005710911e-20	0.07357701417360997	-3.0708745556999144e-20	0.3480989280317587
7.0	0.023278921140593163	0.03294510901189269	0.17643555461693022	0.38520446943736875	-4.302830905382168e-20	0.08355636719351227	-2.4345225828658408e-20	0.35480360875218886
8.0	0.02380844046578883	0.0332784057349172	0.1790765214828215	0.36587946883114464	-3.08413903377697e-20	0.09353572021341472	-1.797298541680021e-20	0.3615082894726191
9.0	0.024337959790984503	0.03365215168113848	0.18171748834871276	0.3465544682249205	-1.866217904269813e-20	0.10351507323331717	-1.1606979546703003e-20	0.36821297019304955
10.0	0.02486747911618017	0.03406501550481425	0.184358455214604	0.3272294676186969	-6.490849601823077e-21	0.11349442625321948	-5.242266318753744e-21	0.37491765091347967
11.0	0.025396998441375843	0.0345155934901375	0.18699942208049525	0.3079044670124729	5.684948939473663e-21	0.12347377927312198	1.1247969044000349e-21	0.3816223316339099
12.0	0.02592651776657151	0.03500242921098352	0.1896403889463864	0.28857946640624926	1.7867435372934142e-20	0.13345313229302433	7.493567335443022e-21	0.3883270123543401
13.0	0.02645603709176718	0.035524032026555005	0.19228135581227765	0.2692544658000251	3.0038057204779106e-20	0.14343248531292682	1.385757328234421e-20	0.3950316930747704
14.0	0.02698555641696285	0.036078894055081606	0.19492232267816895	0.24992946519380116	4.2217463200148356e-20	0.1534118383328292	2.022480864805115e-20	0.40173637379520066
15.0	0.02751507574215852	0.03666550538465551	0.19756328954406008	0.23060446458757747	5.441215985373132e-20	0.16339119135273153	2.6599982162122672e-20	0.40844105451563084
16.0	0.02804459506735419	0.03728236738790746	0.20020425640995132	0.21127946398135367	6.658335052911364e-20	0.17337054437263397	3.29638375482949e-20	0.415145735236061
17.0	0.02857411439254986	0.037927954831258756	0.20269805353648582	0.19107005299394167	5.1154396158381054e-20	0.1831477919002645	0.0011515477212659475	0.42193255384804207
18.0	0.029103633717745526	0.03859803787135036	0.2043405210068106	0.16574461211448685	6.648880172189723e-20	0.19175592409206563	0.008964429015104905	0.42919451377153206
19.0	0.029633153042941195	0.039289771774865916	0.2059829884771354	0.14041917123503234	8.182387917632854e-20	0.20036405628386658	0.01677731030894382	0.43645647369502183
20.0	0.030162672368136866	0.04000203336694982	0.2076254559474602	0.11509373035557768	9.715778475246905e-20	0.20897218847566765	0.024590191602782762	0.44371843361851177
21.0	0.030692191693332538	0.040733745833482396	0.20926792341778497	0.08976828947612296	1.1249025553838646e-19	0.2175803206674688	0.0324030728966217	0.4509803935420017
22.0	0.031221711018528206	0.041483879935820665	0.21091039088810976	0.06444284859666798	1.2782103752597224e-19	0.22618845285926995	0.04021595419046076	0.4582423534654915
23.0	0.031751230343723874	0.04225145450986373	0.21255285835843457	0.039117407717213296	1.4315844255483493e-19	0.23479658505107087	0.04802883548429969	0.46550431338898157
24.0	0.03228074966891954	0.04303553636978684	0.21419532582875936	0.013791966837759078	1.5848781033895276e-19	0.24340471724287183	0.055841716778138484	0.47276627331247134
25.0	0.03281026899411521	0.043836551553386005	0.212505280889072	-1.8654872229777055e-21	8.233132134189831e-21	0.2523539531601757	0.06093723748570284	0.4742035284650495
26.0	0.033339788319310885	0.044662877119302606	0.20683014867394017	-1.8515971427552216e-21	8.161477635099233e-21	0.26171108796842646	0.0627832821935294	0.46867548116410396
27.0	0.033869307644506554	0.045514941230994525	0.20115501645880846	-1.8366922890373935e-21	8.095023276804825e-21	0.27106822277667697	0.0646293269013559	0.4631474338631588
28.0	0.03439882696970222	0.04639132569946191	0.19547988424367657	-1.822936637423099e-21	8.024668371618013e-21	0.2804253575849276	0.06647537160918254	0.45761938656221324
29.0	0.0349283462948979	0.04729067843932812	0.18980475202854488	-1.8085372778554535e-21	7.957108045347495e-21	0.28978249239317827	0.06832141631700903	0.45209133926126793
30.0	0.035457865620093565	0.04821171410099436	0.1841296198134131	-1.7944029621675194e-21	7.887273375654453e-21	0.2991396272014289	0.0701674610248355	0.4465632919603225
31.0	0.03598738494528923	0.04915321381217928	0.17845448759828114	-1.781192507533507e-21	7.814272588386877e-21	0.3084967620096795	0.07201350573266224	0.44103524465937705
32.0	0.0365169042704849	0.05011402420262526	0.17277935538314948	-1.766986033145443e-21	7.747599781984647e-21	0.3178538968179299	0.07385955044048868	0.43550719735843185
33.0	0.03704642359568057	0.051093055865768296	0.16710422316801773	-1.7519028142884033e-21	7.677541252789025e-21	0.32721103162618054	0.07570559514831528	0.4299791500574865
